Wellenzahl	SKS (1050 °C)	Norm. ÜF = Referenz / Planck
7996.40093	2.04810E+10	6.42879E-05
7994.47223	2.04992E+10	6.42033E-05
7992.54353	2.05175E+10	6.40821E-05
7990.61483	2.05358E+10	6.43117E-05
7988.68612	2.05541E+10	6.47099E-05
7986.75742	2.05724E+10	6.48118E-05
7984.82872	2.05907E+10	6.49005E-05
7982.90002	2.06091E+10	6.52305E-05
7980.97131	2.06274E+10	6.53517E-05
7979.04261	2.06458E+10	6.52802E-05
7977.11391	2.06641E+10	6.54179E-05
7975.1852	2.06825E+10	6.56148E-05
7973.2565	2.07009E+10	6.55591E-05
7971.3278	2.07193E+10	6.53139E-05
7969.3991	2.07377E+10	6.52735E-05
7967.47039	2.07561E+10	6.54615E-05
7965.54169	2.07745E+10	6.54518E-05
7963.61299	2.07929E+10	6.52895E-05
7961.68429	2.08114E+10	6.52383E-05
7959.75558	2.08298E+10	6.53785E-05
7957.82688	2.08483E+10	6.57031E-05
7955.89818	2.08667E+10	6.59672E-05
7953.96948	2.08852E+10	6.60976E-05
7952.04077	2.09037E+10	6.61711E-05
7950.11207	2.09222E+10	6.60378E-05
7948.18337	2.09407E+10	6.57876E-05
7946.25467	2.09593E+10	6.56734E-05
7944.32596	2.09778E+10	6.58348E-05
7942.39726	2.09963E+10	6.64598E-05
7940.46856	2.10149E+10	6.71961E-05
7938.53986	2.10335E+10	6.73471E-05
7936.61115	2.10520E+10	6.69484E-05
7934.68245	2.10706E+10	6.65343E-05
7932.75375	2.10892E+10	6.65692E-05
7930.82505	2.11078E+10	6.71616E-05
7928.89634	2.11264E+10	6.77632E-05
7926.96764	2.11451E+10	6.79103E-05
7925.03894	2.11637E+10	6.77827E-05
7923.11024	2.11823E+10	6.75709E-05
7921.18153	2.12010E+10	6.72852E-05
7919.25283	2.12197E+10	6.70437E-05
7917.32413	2.12383E+10	6.7131E-05
7915.39542	2.12570E+10	6.75729E-05
7913.46672	2.12757E+10	6.77157E-05
7911.53802	2.12944E+10	6.73664E-05
7909.60932	2.13131E+10	6.72764E-05
7907.68061	2.13319E+10	6.75876E-05
7905.75191	2.13506E+10	6.79652E-05
7903.82321	2.13693E+10	6.84643E-05
7901.89451	2.13881E+10	6.88745E-05
7899.9658	2.14069E+10	6.88331E-05
7898.0371	2.14257E+10	6.86266E-05
7896.1084	2.14444E+10	6.85473E-05
7894.1797	2.14632E+10	6.83431E-05
7892.25099	2.14820E+10	6.81745E-05
7890.32229	2.15009E+10	6.84305E-05
7888.39359	2.15197E+10	6.88654E-05
7886.46489	2.15385E+10	6.90959E-05
7884.53618	2.15574E+10	6.91137E-05
7882.60748	2.15762E+10	6.91762E-05
7880.67878	2.15951E+10	6.942E-05
7878.75008	2.16140E+10	6.96993E-05
7876.82137	2.16329E+10	6.98215E-05
7874.89267	2.16518E+10	6.96399E-05
7872.96397	2.16707E+10	6.91579E-05
7871.03527	2.16896E+10	6.86599E-05
7869.10656	2.17085E+10	6.85654E-05
7867.17786	2.17275E+10	6.90574E-05
7865.24916	2.17464E+10	6.98446E-05
7863.32045	2.17654E+10	7.0482E-05
7861.39175	2.17843E+10	7.07723E-05
7859.46305	2.18033E+10	7.06353E-05
7857.53435	2.18223E+10	7.00488E-05
7855.60564	2.18413E+10	6.95158E-05
7853.67694	2.18603E+10	6.97881E-05
7851.74824	2.18793E+10	7.06904E-05
7849.81954	2.18984E+10	7.12444E-05
7847.89083	2.19174E+10	7.10826E-05
7845.96213	2.19364E+10	7.07096E-05
7844.03343	2.19555E+10	7.07446E-05
7842.10473	2.19746E+10	7.11553E-05
7840.17602	2.19936E+10	7.1292E-05
7838.24732	2.20127E+10	7.13272E-05
7836.31862	2.20318E+10	7.20596E-05
7834.38992	2.20509E+10	7.28931E-05
7832.46121	2.20701E+10	7.27499E-05
7830.53251	2.20892E+10	7.20361E-05
7828.60381	2.21083E+10	7.16862E-05
7826.67511	2.21275E+10	7.16915E-05
7824.7464	2.21466E+10	7.1662E-05
7822.8177	2.21658E+10	7.17654E-05
7820.889	2.21850E+10	7.20799E-05
7818.9603	2.22042E+10	7.21925E-05
7817.03159	2.22233E+10	7.20509E-05
7815.10289	2.22426E+10	7.21096E-05
7813.17419	2.22618E+10	7.27045E-05
7811.24548	2.22810E+10	7.37599E-05
7809.31678	2.23002E+10	7.45477E-05
7807.38808	2.23195E+10	7.46247E-05
